Local,MortInfantil
Abaiara,6.71
Acarape,10.87
Acaraú,02.06
Acopiara,11.56
Aiuaba,18.4
Alcântaras,-
Altaneira,16.67
Alto Santo,5.62
Amontada,9.12
Antonina do Norte,-
Apuiarés,14.39
Aquiraz,13.1
Aracati,12.7
Aracoiaba,13.29
Ararendá,19.61
Araripe,10.07
Aratuba,27.78
Arneiroz,-
Assaré,7.72
Aurora,16.61
Baixio,-
Banabuiú,4.93
Barbalha,12.6
Barreira,7.55
Barro,19.32
Barroquinha,4.78
Baturité,13.51
Beberibe,15.82
Bela Cruz,11.24
Boa Viagem,10.62
Brejo Santo,9.93
Camocim,11.19
Campos Sales,8.2
Canindé,6.88
Capistrano,17.09
Caridade,15.38
Cariré,4.81
Caririaçu,7.83
Cariús,-
Carnaubal,12.61
Cascavel,14.64
Catarina,15.75
Catunda,20
Caucaia,11.48
Cedro,26.52
Chaval,13.25
Choró,20.41
Chorozinho,31.58
Coreaú,7.52
Crateús,10.8
Crato,15.92
Croatá,14.29
Cruz,18.26
Deputado Irapuan Pinheiro,-
Ereré,-
Eusébio,7.26
Farias Brito,46.15
Forquilha,-
Fortaleza,11.73
Fortim,18.69
Frecheirinha,8.62
General Sampaio,31.25
Graça,6.85
Granja,11.08
Granjeiro,-
Groaíras,-
Guaiúba,11.63
Guaraciaba do Norte,8.42
Guaramiranga,13.51
Hidrolândia,17.32
Horizonte,13.35
Ibaretama,12.12
Ibiapina,5.21
Ibicuitinga,8.77
Icapuí,19.9
Icó,13.72
Iguatu,11.12
Independência,23.73
Ipaporanga,22.56
Ipaumirim,25
Ipu,12.87
Ipueiras,8.85
Iracema,7.41
Irauçuba,06.06
Itaiçaba,14.71
Itaitinga,10.2
Itapajé,17.92
Itapipoca,8.8
Itapiúna,21.98
Itarema,11.08
Itatira,16.19
Jaguaretama,-
Jaguaribara,8.2
Jaguaribe,13.62
Jaguaruana,9.87
Jardim,19.89
Jati,-
Jijoca de Jericoacoara,05.09
Juazeiro do Norte,12.11
Jucás,6.73
Lavras da Mangabeira,6.97
Limoeiro do Norte,28.65
Madalena,16.85
Maracanaú,8.2
Maranguape,7.57
Marco,7.55
Martinópole,5.26
Massapê,11.67
Mauriti,15.04
Meruoca,5.75
Milagres,8.5
Milhã,-
Miraíma,-
Missão Velha,3.54
Mombaça,13.95
Monsenhor Tabosa,10.58
Morada Nova,8.75
Moraújo,17.54
Morrinhos,09.09
Mucambo,5.38
Mulungu,8.62
Nova Olinda,8.85
Nova Russas,5.92
Novo Oriente,9.62
Ocara,36.73
Orós,09.01
Pacajus,6.75
Pacatuba,14.3
Pacoti,8.13
Pacujá,-
Palhano,20.41
Palmácia,12.2
Paracuru,16.67
Paraipaba,8.91
Parambu,13.45
Paramoti,8.26
Pedra Branca,17.33
Penaforte,7.63
Pentecoste,13.76
Pereiro,22.47
Pindoretama,3.72
Piquet Carneiro,27.59
Pires Ferreira,09.09
Poranga,15.87
Porteiras,11.54
Potengi,9.71
Potiretama,25.64
Quiterianópolis,13.1
Quixadá,12.38
Quixelô,16.95
Quixeramobim,17.38
Quixeré,7.52
Redenção,16.71
Reriutaba,13.27
Russas,9.91
Saboeiro,-
Salitre,15.92
Santana do Acaraú,13.59
Santana do Cariri,8.7
Santa Quitéria,8.83
São Benedito,11.8
São Gonçalo do Amarante,7.24
São João do Jaguaribe,55.56
São Luís do Curu,27.03
Senador Pompeu,7.52
Senador Sá,-
Sobral,14.05
Solonópole,11.83
Tabuleiro do Norte,25.56
Tamboril,20.35
Tarrafas,12.82
Tauá,14.16
Tejuçuoca,4.46
Tianguá,12.53
Trairi,12.18
Tururu,24.1
Ubajara,8.73
Umari,-
Umirim,12.2
Uruburetama,12.86
Uruoca,5.78
Varjota,3.86
Várzea Alegre,12.38
Viçosa do Ceará,9.22